IMAGEID	Plane	TheT	TheZ	TheC	XPos	YPos	ZPos	DeltaT
46.0	0.0	0.0	0.0	0.0	6544.2	10501.6	478.8	143.376
46.0	1.0	0.0	0.0	1.0	6544.2	10501.6	478.8	143.595
46.0	2.0	0.0	0.0	2.0	6544.2	10501.6	478.8	144.107
47.0	0.0	0.0	0.0	0.0	2048.5	10481.8	468.8	146.873
47.0	1.0	0.0	0.0	1.0	2048.5	10481.8	468.8	147.186
47.0	2.0	0.0	0.0	2.0	2048.5	10481.8	468.8	147.704
48.0	0.0	0.0	0.0	0.0	2028.7	14979.7	468.8	148.977
48.0	1.0	0.0	0.0	1.0	2028.7	14979.7	468.8	149.2
48.0	2.0	0.0	0.0	2.0	2028.7	14979.7	468.8	149.709
49.0	0.0	0.0	0.0	0.0	6524.5	14999.4	482.2	152.754
49.0	1.0	0.0	0.0	1.0	6524.5	14999.4	482.2	152.97
49.0	2.0	0.0	0.0	2.0	6524.5	14999.4	482.2	153.482
50.0	0.0	0.0	0.0	0.0	11020.2	15019.2	493.6	156.134
50.0	1.0	0.0	0.0	1.0	11020.2	15019.2	493.6	156.369
50.0	2.0	0.0	0.0	2.0	11020.2	15019.2	493.6	156.874
51.0	0.0	0.0	0.0	0.0	15516.0	15039.0	501.7	159.594
51.0	1.0	0.0	0.0	1.0	15516.0	15039.0	501.7	159.818
51.0	2.0	0.0	0.0	2.0	15516.0	15039.0	501.7	160.352
52.0	0.0	0.0	0.0	0.0	20011.8	15058.8	505.7	162.739
52.0	1.0	0.0	0.0	1.0	20011.8	15058.8	505.7	162.961
52.0	2.0	0.0	0.0	2.0	20011.8	15058.8	505.7	163.468
53.0	0.0	0.0	0.0	0.0	24507.5	15078.5	514.1	166.195
53.0	1.0	0.0	0.0	1.0	24507.5	15078.5	514.1	166.418
53.0	2.0	0.0	0.0	2.0	24507.5	15078.5	514.1	166.927
54.0	0.0	0.0	0.0	0.0	29003.3	15098.3	512.8	169.254
54.0	1.0	0.0	0.0	1.0	29003.3	15098.3	512.8	169.478
54.0	2.0	0.0	0.0	2.0	29003.3	15098.3	512.8	169.991
55.0	0.0	0.0	0.0	0.0	33499.1	15118.1	512.8	171.557
55.0	1.0	0.0	0.0	1.0	33499.1	15118.1	512.8	171.781
55.0	2.0	0.0	0.0	2.0	33499.1	15118.1	512.8	172.334
56.0	0.0	0.0	0.0	0.0	37994.8	15137.9	521.8	175.049
56.0	1.0	0.0	0.0	1.0	37994.8	15137.9	521.8	175.272
56.0	2.0	0.0	0.0	2.0	37994.8	15137.9	521.8	175.779
57.0	0.0	0.0	0.0	0.0	42490.6	15157.6	528.7	178.46
57.0	1.0	0.0	0.0	1.0	42490.6	15157.6	528.7	178.682
57.0	2.0	0.0	0.0	2.0	42490.6	15157.6	528.7	179.192
58.0	0.0	0.0	0.0	0.0	46986.4	15177.4	535.2	181.193
58.0	1.0	0.0	0.0	1.0	46986.4	15177.4	535.2	181.417
58.0	2.0	0.0	0.0	2.0	46986.4	15177.4	535.2	181.927
59.0	0.0	0.0	0.0	0.0	51482.2	15197.2	529.8	183.972
59.0	1.0	0.0	0.0	1.0	51482.2	15197.2	529.8	184.196
59.0	2.0	0.0	0.0	2.0	51482.2	15197.2	529.8	184.705
60.0	0.0	0.0	0.0	0.0	55977.9	15217.0	526.6	186.758
60.0	1.0	0.0	0.0	1.0	55977.9	15217.0	526.6	186.98
60.0	2.0	0.0	0.0	2.0	55977.9	15217.0	526.6	187.493
61.0	0.0	0.0	0.0	0.0	60473.7	15236.7	526.6	189.129
61.0	1.0	0.0	0.0	1.0	60473.7	15236.7	526.6	189.371
61.0	2.0	0.0	0.0	2.0	60473.7	15236.7	526.6	189.914
62.0	0.0	0.0	0.0	0.0	64969.5	15256.5	521.2	192.218
62.0	1.0	0.0	0.0	1.0	64969.5	15256.5	521.2	192.442
62.0	2.0	0.0	0.0	2.0	64969.5	15256.5	521.2	192.96
63.0	0.0	0.0	0.0	0.0	69465.2	15276.3	514.6	194.95
63.0	1.0	0.0	0.0	1.0	69465.2	15276.3	514.6	195.174
63.0	2.0	0.0	0.0	2.0	69465.2	15276.3	514.6	195.684
64.0	0.0	0.0	0.0	0.0	73961.0	15296.0	509.9	197.743
64.0	1.0	0.0	0.0	1.0	73961.0	15296.0	509.9	197.963
64.0	2.0	0.0	0.0	2.0	73961.0	15296.0	509.9	198.478
65.0	0.0	0.0	0.0	0.0	78456.8	15315.8	498.5	201.131
65.0	1.0	0.0	0.0	1.0	78456.8	15315.8	498.5	201.359
65.0	2.0	0.0	0.0	2.0	78456.8	15315.8	498.5	201.95
66.0	0.0	0.0	0.0	0.0	82952.6	15335.6	493.4	203.988
66.0	1.0	0.0	0.0	1.0	82952.6	15335.6	493.4	204.309
66.0	2.0	0.0	0.0	2.0	82952.6	15335.6	493.4	204.823
67.0	0.0	0.0	0.0	0.0	87448.3	15355.4	489.3	207.207
67.0	1.0	0.0	0.0	1.0	87448.3	15355.4	489.3	207.486
67.0	2.0	0.0	0.0	2.0	87448.3	15355.4	489.3	207.993
68.0	0.0	0.0	0.0	0.0	91944.1	15375.1	481.5	210.396
68.0	1.0	0.0	0.0	1.0	91944.1	15375.1	481.5	210.708
68.0	2.0	0.0	0.0	2.0	91944.1	15375.1	481.5	211.23
69.0	0.0	0.0	0.0	0.0	96439.9	15394.9	472.0	213.885
69.0	1.0	0.0	0.0	1.0	96439.9	15394.9	472.0	214.197
69.0	2.0	0.0	0.0	2.0	96439.9	15394.9	472.0	214.707
70.0	0.0	0.0	0.0	0.0	100935.6	15414.7	468.1	216.99
70.0	1.0	0.0	0.0	1.0	100935.6	15414.7	468.1	217.301
70.0	2.0	0.0	0.0	2.0	100935.6	15414.7	468.1	217.814
71.0	0.0	0.0	0.0	0.0	105431.4	15434.5	464.5	220.2
71.0	1.0	0.0	0.0	1.0	105431.4	15434.5	464.5	220.425
71.0	2.0	0.0	0.0	2.0	105431.4	15434.5	464.5	220.933
72.0	0.0	0.0	0.0	0.0	105411.6	19932.3	467.8	222.988
72.0	1.0	0.0	0.0	1.0	105411.6	19932.3	467.8	223.213
72.0	2.0	0.0	0.0	2.0	105411.6	19932.3	467.8	223.718
73.0	0.0	0.0	0.0	0.0	100915.8	19912.6	460.4	226.405
73.0	1.0	0.0	0.0	1.0	100915.8	19912.6	460.4	226.638
73.0	2.0	0.0	0.0	2.0	100915.8	19912.6	460.4	227.197
74.0	0.0	0.0	0.0	0.0	96420.1	19892.8	473.2	229.907
74.0	1.0	0.0	0.0	1.0	96420.1	19892.8	473.2	230.147
74.0	2.0	0.0	0.0	2.0	96420.1	19892.8	473.2	230.66
75.0	0.0	0.0	0.0	0.0	91924.3	19873.0	479.8	233.344
75.0	1.0	0.0	0.0	1.0	91924.3	19873.0	479.8	233.562
75.0	2.0	0.0	0.0	2.0	91924.3	19873.0	479.8	234.067
76.0	0.0	0.0	0.0	0.0	87428.5	19853.2	487.9	236.771
76.0	1.0	0.0	0.0	1.0	87428.5	19853.2	487.9	237.069
76.0	2.0	0.0	0.0	2.0	87428.5	19853.2	487.9	237.582
77.0	0.0	0.0	0.0	0.0	82932.8	19833.5	492.5	239.969
77.0	1.0	0.0	0.0	1.0	82932.8	19833.5	492.5	240.289
77.0	2.0	0.0	0.0	2.0	82932.8	19833.5	492.5	240.803
78.0	0.0	0.0	0.0	0.0	78437.0	19813.7	503.9	243.466
78.0	1.0	0.0	0.0	1.0	78437.0	19813.7	503.9	243.782
78.0	2.0	0.0	0.0	2.0	78437.0	19813.7	503.9	244.297
79.0	0.0	0.0	0.0	0.0	73941.2	19793.9	508.8	246.7
79.0	1.0	0.0	0.0	1.0	73941.2	19793.9	508.8	246.971
79.0	2.0	0.0	0.0	2.0	73941.2	19793.9	508.8	247.481
80.0	0.0	0.0	0.0	0.0	69445.5	19774.2	515.1	249.873
80.0	1.0	0.0	0.0	1.0	69445.5	19774.2	515.1	250.194
80.0	2.0	0.0	0.0	2.0	69445.5	19774.2	515.1	250.71
81.0	0.0	0.0	0.0	0.0	64949.7	19754.4	524.6	253.06
81.0	1.0	0.0	0.0	1.0	64949.7	19754.4	524.6	253.284
81.0	2.0	0.0	0.0	2.0	64949.7	19754.4	524.6	253.792
82.0	0.0	0.0	0.0	0.0	60453.9	19734.6	530.8	256.17
82.0	1.0	0.0	0.0	1.0	60453.9	19734.6	530.8	256.393
82.0	2.0	0.0	0.0	2.0	60453.9	19734.6	530.8	256.901
83.0	0.0	0.0	0.0	0.0	55958.2	19714.8	536.3	258.95
83.0	1.0	0.0	0.0	1.0	55958.2	19714.8	536.3	259.175
83.0	2.0	0.0	0.0	2.0	55958.2	19714.8	536.3	259.682
84.0	0.0	0.0	0.0	0.0	51462.4	19695.1	536.3	261.295
84.0	1.0	0.0	0.0	1.0	51462.4	19695.1	536.3	261.515
84.0	2.0	0.0	0.0	2.0	51462.4	19695.1	536.3	262.022
85.0	0.0	0.0	0.0	0.0	46966.6	19675.3	530.4	264.045
85.0	1.0	0.0	0.0	1.0	46966.6	19675.3	530.4	264.289
85.0	2.0	0.0	0.0	2.0	46966.6	19675.3	530.4	264.801
86.0	0.0	0.0	0.0	0.0	42470.8	19655.5	530.4	266.354
86.0	1.0	0.0	0.0	1.0	42470.8	19655.5	530.4	266.666
86.0	2.0	0.0	0.0	2.0	42470.8	19655.5	530.4	267.176
87.0	0.0	0.0	0.0	0.0	37975.1	19635.7	523.8	269.998
87.0	1.0	0.0	0.0	1.0	37975.1	19635.7	523.8	270.212
87.0	2.0	0.0	0.0	2.0	37975.1	19635.7	523.8	270.72
88.0	0.0	0.0	0.0	0.0	33479.3	19616.0	513.7	273.464
88.0	1.0	0.0	0.0	1.0	33479.3	19616.0	513.7	273.685
88.0	2.0	0.0	0.0	2.0	33479.3	19616.0	513.7	274.198
89.0	0.0	0.0	0.0	0.0	28983.5	19596.2	517.0	276.569
89.0	1.0	0.0	0.0	1.0	28983.5	19596.2	517.0	276.789
89.0	2.0	0.0	0.0	2.0	28983.5	19596.2	517.0	277.299
90.0	0.0	0.0	0.0	0.0	24487.8	19576.4	510.0	279.389
90.0	1.0	0.0	0.0	1.0	24487.8	19576.4	510.0	279.618
90.0	2.0	0.0	0.0	2.0	24487.8	19576.4	510.0	280.127
91.0	0.0	0.0	0.0	0.0	19992.0	19556.6	506.2	282.454
91.0	1.0	0.0	0.0	1.0	19992.0	19556.6	506.2	282.684
91.0	2.0	0.0	0.0	2.0	19992.0	19556.6	506.2	283.2
92.0	0.0	0.0	0.0	0.0	15496.2	19536.9	498.0	285.96
92.0	1.0	0.0	0.0	1.0	15496.2	19536.9	498.0	286.179
92.0	2.0	0.0	0.0	2.0	15496.2	19536.9	498.0	286.688
93.0	0.0	0.0	0.0	0.0	11000.4	19517.1	495.7	289.083
93.0	1.0	0.0	0.0	1.0	11000.4	19517.1	495.7	289.312
93.0	2.0	0.0	0.0	2.0	11000.4	19517.1	495.7	289.816
94.0	0.0	0.0	0.0	0.0	6504.7	19497.3	484.1	292.19
94.0	1.0	0.0	0.0	1.0	6504.7	19497.3	484.1	292.441
94.0	2.0	0.0	0.0	2.0	6504.7	19497.3	484.1	293.022
95.0	0.0	0.0	0.0	0.0	2008.9	19477.6	477.0	295.337
95.0	1.0	0.0	0.0	1.0	2008.9	19477.6	477.0	295.561
95.0	2.0	0.0	0.0	2.0	2008.9	19477.6	477.0	296.075
96.0	0.0	0.0	0.0	0.0	1989.1	23975.4	470.4	297.782
96.0	1.0	0.0	0.0	1.0	1989.1	23975.4	470.4	298.005
96.0	2.0	0.0	0.0	2.0	1989.1	23975.4	470.4	298.52
97.0	0.0	0.0	0.0	0.0	6484.9	23995.2	478.4	301.16
97.0	1.0	0.0	0.0	1.0	6484.9	23995.2	478.4	301.382
97.0	2.0	0.0	0.0	2.0	6484.9	23995.2	478.4	301.891
98.0	0.0	0.0	0.0	0.0	10980.6	24015.0	492.6	304.633
98.0	1.0	0.0	0.0	1.0	10980.6	24015.0	492.6	304.866
98.0	2.0	0.0	0.0	2.0	10980.6	24015.0	492.6	305.379
99.0	0.0	0.0	0.0	0.0	15476.4	24034.8	492.6	306.961
99.0	1.0	0.0	0.0	1.0	15476.4	24034.8	492.6	307.25
99.0	2.0	0.0	0.0	2.0	15476.4	24034.8	492.6	307.76
100.0	0.0	0.0	0.0	0.0	19972.2	24054.5	496.1	310.195
100.0	1.0	0.0	0.0	1.0	19972.2	24054.5	496.1	310.504
100.0	2.0	0.0	0.0	2.0	19972.2	24054.5	496.1	311.015
101.0	0.0	0.0	0.0	0.0	24468.0	24074.3	503.3	313.383
101.0	1.0	0.0	0.0	1.0	24468.0	24074.3	503.3	313.615
101.0	2.0	0.0	0.0	2.0	24468.0	24074.3	503.3	314.128
102.0	0.0	0.0	0.0	0.0	28963.8	24094.1	513.1	316.582
102.0	1.0	0.0	0.0	1.0	28963.8	24094.1	513.1	316.801
102.0	2.0	0.0	0.0	2.0	28963.8	24094.1	513.1	317.315
103.0	0.0	0.0	0.0	0.0	33459.5	24113.8	520.8	319.696
103.0	1.0	0.0	0.0	1.0	33459.5	24113.8	520.8	319.916
103.0	2.0	0.0	0.0	2.0	33459.5	24113.8	520.8	320.418
104.0	0.0	0.0	0.0	0.0	37955.3	24133.6	526.0	322.742
104.0	1.0	0.0	0.0	1.0	37955.3	24133.6	526.0	322.96
104.0	2.0	0.0	0.0	2.0	37955.3	24133.6	526.0	323.469
105.0	0.0	0.0	0.0	0.0	42451.0	24153.4	530.0	325.832
105.0	1.0	0.0	0.0	1.0	42451.0	24153.4	530.0	326.061
105.0	2.0	0.0	0.0	2.0	42451.0	24153.4	530.0	326.57
106.0	0.0	0.0	0.0	0.0	46946.8	24173.2	530.0	328.132
106.0	1.0	0.0	0.0	1.0	46946.8	24173.2	530.0	328.362
106.0	2.0	0.0	0.0	2.0	46946.8	24173.2	530.0	328.868
107.0	0.0	0.0	0.0	0.0	51442.6	24192.9	530.0	330.43
107.0	1.0	0.0	0.0	1.0	51442.6	24192.9	530.0	330.653
107.0	2.0	0.0	0.0	2.0	51442.6	24192.9	530.0	331.164
108.0	0.0	0.0	0.0	0.0	55938.4	24212.7	534.4	333.111
108.0	1.0	0.0	0.0	1.0	55938.4	24212.7	534.4	333.335
108.0	2.0	0.0	0.0	2.0	55938.4	24212.7	534.4	333.841
109.0	0.0	0.0	0.0	0.0	60434.1	24232.5	526.3	336.469
109.0	1.0	0.0	0.0	1.0	60434.1	24232.5	526.3	336.782
109.0	2.0	0.0	0.0	2.0	60434.1	24232.5	526.3	337.303
110.0	0.0	0.0	0.0	0.0	64929.9	24252.3	519.5	339.27
110.0	1.0	0.0	0.0	1.0	64929.9	24252.3	519.5	339.498
110.0	2.0	0.0	0.0	2.0	64929.9	24252.3	519.5	340.062
111.0	0.0	0.0	0.0	0.0	69425.7	24272.0	513.3	342.125
111.0	1.0	0.0	0.0	1.0	69425.7	24272.0	513.3	342.365
111.0	2.0	0.0	0.0	2.0	69425.7	24272.0	513.3	342.871
112.0	0.0	0.0	0.0	0.0	73921.4	24291.8	510.6	345.236
112.0	1.0	0.0	0.0	1.0	73921.4	24291.8	510.6	345.457
112.0	2.0	0.0	0.0	2.0	73921.4	24291.8	510.6	346.089
113.0	0.0	0.0	0.0	0.0	78417.2	24311.6	499.5	348.479
113.0	1.0	0.0	0.0	1.0	78417.2	24311.6	499.5	348.726
113.0	2.0	0.0	0.0	2.0	78417.2	24311.6	499.5	349.331
114.0	0.0	0.0	0.0	0.0	82913.0	24331.4	492.7	351.748
114.0	1.0	0.0	0.0	1.0	82913.0	24331.4	492.7	351.983
114.0	2.0	0.0	0.0	2.0	82913.0	24331.4	492.7	352.491
115.0	0.0	0.0	0.0	0.0	87408.8	24351.1	481.2	354.565
115.0	1.0	0.0	0.0	1.0	87408.8	24351.1	481.2	354.792
115.0	2.0	0.0	0.0	2.0	87408.8	24351.1	481.2	355.304
116.0	0.0	0.0	0.0	0.0	91904.5	24370.9	476.6	357.408
116.0	1.0	0.0	0.0	1.0	91904.5	24370.9	476.6	357.704
116.0	2.0	0.0	0.0	2.0	91904.5	24370.9	476.6	358.217
117.0	0.0	0.0	0.0	0.0	96400.3	24390.7	468.5	360.633
117.0	1.0	0.0	0.0	1.0	96400.3	24390.7	468.5	360.954
117.0	2.0	0.0	0.0	2.0	96400.3	24390.7	468.5	361.466
118.0	0.0	0.0	0.0	0.0	100896.1	24410.5	463.8	363.563
118.0	1.0	0.0	0.0	1.0	100896.1	24410.5	463.8	363.791
118.0	2.0	0.0	0.0	2.0	100896.1	24410.5	463.8	364.304
119.0	0.0	0.0	0.0	0.0	105391.8	24430.2	463.8	365.867
119.0	1.0	0.0	0.0	1.0	105391.8	24430.2	463.8	366.108
119.0	2.0	0.0	0.0	2.0	105391.8	24430.2	463.8	366.658
