IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
165.0	0.0	0.0	0.0	0.0	96750.9	33250.5	1288.2	352.253
166.0	0.0	0.0	0.0	0.0	101250.9	33250.5	1304.5	354.708
167.0	0.0	0.0	0.0	0.0	105750.9	33250.5	1310.7	357.304
168.0	0.0	0.0	0.0	0.0	2250.9	37750.5	1278.4	361.803
169.0	0.0	0.0	0.0	0.0	6750.9	37750.5	1271.9	363.905
170.0	0.0	0.0	0.0	0.0	11250.9	37750.5	1262.8	366.003
171.0	0.0	0.0	0.0	0.0	15750.9	37750.5	1253.2	367.404
172.0	0.0	0.0	0.0	0.0	20250.9	37750.5	1242.3	369.102
173.0	0.0	0.0	0.0	0.0	24750.9	37750.5	1234.9	370.953
174.0	0.0	0.0	0.0	0.0	29250.9	37750.5	1224.2	373.055
175.0	0.0	0.0	0.0	0.0	33750.9	37750.5	1220.8	375.202
176.0	0.0	0.0	0.0	0.0	38250.9	37750.5	1216.7	377.373
177.0	0.0	0.0	0.0	0.0	42750.9	37750.5	1215.0	379.554
178.0	0.0	0.0	0.0	0.0	47250.9	37750.5	1214.3	381.756
179.0	0.0	0.0	0.0	0.0	51750.9	37750.5	1212.2	384.002
180.0	0.0	0.0	0.0	0.0	56250.9	37750.5	1216.1	386.203
181.0	0.0	0.0	0.0	0.0	60750.9	37750.5	1216.5	388.354
182.0	0.0	0.0	0.0	0.0	65250.9	37750.5	1222.5	390.504
183.0	0.0	0.0	0.0	0.0	69750.9	37750.5	1227.6	392.654
184.0	0.0	0.0	0.0	0.0	74250.9	37750.5	1233.9	394.754
185.0	0.0	0.0	0.0	0.0	78750.9	37750.5	1242.7	396.854
186.0	0.0	0.0	0.0	0.0	83250.9	37750.5	1253.2	398.254
187.0	0.0	0.0	0.0	0.0	87750.9	37750.5	1263.9	400.052
188.0	0.0	0.0	0.0	0.0	92250.9	37750.5	1278.8	402.153
189.0	0.0	0.0	0.0	0.0	96750.9	37750.5	1293.5	404.303
190.0	0.0	0.0	0.0	0.0	101250.9	37750.5	1315.2	406.803
191.0	0.0	0.0	0.0	0.0	105750.9	37750.5	1321.1	409.653
192.0	0.0	0.0	0.0	0.0	2250.9	42250.5	1284.7	414.104
